REG_NUMBER	COMPANY_NAME	SURNAME1	SURNAME2	CODE	SHORT_ES	LONG_ES	LONG_EN	TRADE_NAME	STREET_TYPE	STREET_NAME	STREET_NUMBER	STREET_OTHER	ZIP_CODE	TOWN	PROVINCE	PHONE	URL	COORDINATE_X	COORDINATE_Y	PRECISION	EMPLOYEES	ACTIVITY_CODE	ACTIVITY_DESCRIPTION	ACTIVITY_CODE_2	ACTIVITY_DESCRIPTION_2	ACTIVITY_CODE_3	ACTIVITY_DESCRIPTION_3	CORPORATE_PURPOSE	COD_CONFIRMED_STATUS	CONFIRMED_STATUS	CONFIRMED_STATUS_DATE	COD_TRADING_STATUS	TRADING_STATUS	TRADING_STATUS_DATE	COD_INSOLVENCY_PROCEEDINGS	INSOLVENCY_PROCEEDINGS	INSOLVENCY_PROCEEDING_DATE	INDIV_LATEST_FILED_ACCOUNTS	INDIV_LATEST_FILED_ACCOUNTS_YEAR	ACTIVITY_START_DATE	PARENT_COMPANY_REG_NUMBER	PARENT_COMPANY_NAME	PARENT_COMPANY_LEGAL_FORM	INDIC_INDIVID_BALANC_SHEET_AUDIT	INDIVIDUAL_BALANCE_SHEET_AUDITOR	OP_INDIVID_BALANC_SHEET_AUDIT
A17028952	MOTORMAR			20	SA	Sociedad Anónima	Public Limited Company		CTRA	GIRONA	185	187	17220	SANT FELIU DE GUIXOLS	GIRONA	972320058		3.023821900	41.787604700	1		4712	Other non-specialized retail trade	9531	Repair and maintenance of motor vehicles	4781	Retail trade of motor vehicles	La Compraventa De Vehiculos Automoviles De Todas Clases, Inclusive Embarcaciones Nauticas, De Maquinaria Y Demas Elementos De Elevacion Y Transporte, De Equipos De Mantenimiento Y Piezas De Recambio, Accesorios Y Neumaticos, Asi Como La Prestacion De Servicios De Asistencia Tecnica, Reparaciones.	03	We have obtained information from this firm, but according to the firm, the company is not operational.	11FEB2014							2024	04DEC2025	01-01-1976	B17006107	AUTOMOVILES Y SUMINISTROS	Limited Company			
A17029836	ES VALLS			20	SA	Sociedad Anónima	Public Limited Company		PLAZA	IGLESIA	S/N		17255	BEGUR	GIRONA	972623079		3.218073373	41.958585331	22		6812	Real estate development	4299	Construction of other civil engineering projects n.e.c.				02	We have confirmed that this firm is active, but it has not provided us with information.	16JUL2015							2025	24APR2026	01-01-1976						
A17030107	EUROENVAS			20	SA	Sociedad Anónima	Public Limited Company		CALLE	AGRICULTURA	24	BAJOS ED VORAMAR	08320	MASNOU (EL)	BARCELONA	935407318						6812	Real estate development					La Promocion, Compraventa, Arrendamiento De Bienes Inmuebles Y Lamediacion En Actividades Propias Del Sector Inmobiliario.										2024	11JUN2026	01-01-1976						
A17031568	ELECTRO BASAR ALBERT			20	SA	Sociedad Anónima	Public Limited Company		CALLE	EMPORDA	2	17760	17760	VILABERTRAN	GIRONA			2.981912200	42.282969200	1		4712	Other non-specialized retail trade					La Venta Al Mayor De Articulos Por El Confon Del Hogar Menaje De Cocina, Dectrarbmffticos; Muebles Auxiliares, Articulos De Adorno Fotografica.Inmobiliaria.										2025	15APR2026	21-01-1977						
A17042201	MAS ARANSO			20	SA	Sociedad Anónima	Public Limited Company		CTRA	SEU DE URGELL A PUIGCERDA	S/N		17539	BOLVIR	GIRONA	972880720		1.768078505	42.456308919	22		6820	Renting of real estate for own account															2021	08AUG2022	01-04-1979						
A17042979	URBANIZACIONES PALAU			20	SA	Sociedad Anónima	Public Limited Company		CALLE	HOLANDA 0	S/N		17495	PALAU SAVERDERA	GIRONA	972530311		3.141977541	42.301987429	21		6831	Brokerage services for real estate activities	6812	Real estate development				02	We have confirmed that this firm is active, but it has not provided us with information.	23MAY2011							2012	02AUG2013	15-10-1979						
A17045287	EXIMP			20	SA	Sociedad Anónima	Public Limited Company		PLAZA	CATALUNYA	2	1 2	17800	OLOT	GIRONA	972272057		2.484481400	42.180045900	1		6920	Accounting, bookkeeping, auditing and tax consultancy activities					La Compra, Venta, Envasado, Embotellado, Representacion Y Distribucion De Toda Clase De Bebidas Y Productos Relativos A La Alimentacion; La Compraventa De Aridos, Maderas Y Productos Agrarios, Ramaderos Y Forestales; La Compra, Venta Y Reconvesion De Empresas; Las Promociones Inmobiliarias; La Recon.										2024	04SEP2025	01-01-1980						
A17048034	PROMOCIONS EUROS			20	SA	Sociedad Anónima	Public Limited Company		CALLE	OLIVO 9	S/N		17310	LLORET DE MAR	GIRONA	666571522		2.847642000	41.702755000	12	1	6812	Real estate development	4299	Construction of other civil engineering projects n.e.c.				02	We have confirmed that this firm is active, but it has not provided us with information.	01MAR2011							2024	22MAY2025	01-01-1980						
A17054677	SAIRESA			20	SA	Sociedad Anónima	Public Limited Company																																							
A17058991	PROMOCIONS CAIXAS			20	SA	Sociedad Anónima	Public Limited Company		CALLE	ANGEL GUIMERA 7	S/N		17820	BANYOLES	GIRONA	972571766		2.765077000	42.117478600	1		6812	Real estate development	6831	Brokerage services for real estate activities				02	We have confirmed that this firm is active, but it has not provided us with information.	23MAY2011							2024	24MAR2026	04-06-1982						
A17062464	CONTENEDORES Y COMPACTADORES METALICOS			20	SA	Sociedad Anónima	Public Limited Company		CRA	GUERRILLER FRIGOLA	S/N		17820	BANYOLES	GIRONA			2.778530500	42.109566800	7		7499	All other professional, scientific and technical activities n.e.c.					Construccion De Contenedores, Reparacion De Ballestas De Automoviles Y De Cualquier Tipo De Construccione Metalicas. La Venta De Gases Licuados Y La Construccion Y Alquiler De Naves Industriales.										2024	21AUG2025	01-01-1980						
A17067968	VIAJES HENRI			20	SA	Sociedad Anónima	Public Limited Company		AVDA	GRECIA	68		17257	TORROELLA DE MONTGRI	GIRONA	972751161		3.192129300	42.051940500	1		7911	Travel agency activities	9699	Other personal services n.e.c.	6614	Other brokerage activities in securities and other assets transactions		01	We have confirmed that this firm is active.	04JUN2018							2024	21AUG2025	01-01-1983						
A17074998	GARATGE NOU			20	SA	Sociedad Anónima	Public Limited Company		CALLE	TORRES I JONAMA	92		17200	PALAFRUGELL	GIRONA	972306091	http://www.reanult.es	3.158926800	41.918222450	5	2	4782	Retail trade of spare parts and accessories for motor vehicles	4782	Retail trade of spare parts and accessories for motor vehicles	4781	Retail trade of motor vehicles	A) La Direccion Y Gestion De Participaciones En El Capital De Otras Sociedades Y Gestion De Las Actividades Economicas De Las Mismas, Asi Como La Prestacion De Servicios De Asesoramiento Y Soporte A Entidades Participadas, Todo Ello Por Cuenta Propia Y Siempre Que...	02	We have confirmed that this firm is active, but it has not provided us with information.	19MAY2019							2024	04SEP2025	30-04-1984						
A17076696	GIRONINA AUDIOVISUAL MECANOGRAFICA			20	SA	Sociedad Anónima	Public Limited Company	GAM TECNOLOGIA EDUCACIONAL	CTRA	SANTA COLOMA	53	BAJOS	17180	VILABLAREIX	GIRONA	972216650						8559	Other education n.e.c.						02	We have confirmed that this firm is active, but it has not provided us with information.	12NOV2006							2024	11NOV2025	01-01-1984						
A17080003	PIORDE			20	SA	Sociedad Anónima	Public Limited Company		CALLE	SANT JAUME	8		17310	LLORET DE MAR	GIRONA	972368865		2.856024750	41.703307150	4	1	5510	Hotels and similar accommodations					La Promocion, La Construccion Y La Explotacion Por Cuenta Propia O De Terceros De Toda Clase De Establecimientos Hoteleros, Restaurantes, Bares, Cafeterias, Salas De Fiestas, Apartamentos, Y Comercios.	02	We have confirmed that this firm is active, but it has not provided us with information.	28APR2017							2024	30JUL2025	01-01-1990						
A17081183	PROMOCIONS GERMANS VIÑALS			20	SA	Sociedad Anónima	Public Limited Company		CALLE	JACINT VERDAGUER	36		17410	SILS	GIRONA	972853213		2.744086000	41.810177000	12	2	6812	Real estate development						04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	08OCT2024							2024	18JUN2025	01-01-1984						
A17084062	CONSTRUCCIONS RIBERA RIU			20	SA	Sociedad Anónima	Public Limited Company		CALLE	GIRONA	S/N		17534	RIBES DE FRESER	GIRONA	972727112		2.169875400	42.304845600	7		4101	Construction of residential buildings						01	We have confirmed that this firm is active.	07SEP2010	4	Disolution.Other Reasons	30NOV2011				2015	01AUG2016	25-01-1985						
A17086240	PROMOCIONS QUINTANAS			20	SA	Sociedad Anónima	Public Limited Company		CALLE	SALVADOR DALI	15		17834	PORQUERES	GIRONA	972574307		2.779037300	42.102824100	1	1	6831	Brokerage services for real estate activities	6831	Brokerage services for real estate activities			La Promocion, Construccion, Rehabilitacion, Conservacion, Urbanizacion, Mantenimiento Y Explotacion Por Cualquier Titulo De Toda Clase De Obras (Tanto Publicas Como Privadas) Y De Todo Tipo De Construcciones. La Realizacion De Todo Tipo De Actividades De Caracter Inmobiliario.	04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	13JUL2020							2024	13OCT2025	19-01-1985						
A17087560	CAP BEGUR			20	SA	Sociedad Anónima	Public Limited Company		PLAZA	MARQUES DE CAMPS	17	1º 1	17001	GIRONA	GIRONA	972413161		2.819537100	41.982166700	1		7711	Rental of automobiles and light motor vehicles					El Negocio Inmobiliario En General, Rustico O Urbano, La Promocion, Compraventa, Administracion, Tenencia Y Explotacion De Bienes Inmuebles (Excepto El Arrendamiento Activo Finciero); La Urbanizacion Y Parcelacion De Fincas U Su Edificacion; El Estudio, Promocion, Gestion Y Realizacion De Tales Oper. -Cnae: 4110										2024	24SEP2025	01-01-1985						
A17088634	IMMO ALBERES			20	SA	Sociedad Anónima	Public Limited Company		CALLE	PUJADES	79	BJ 3	17600	FIGUERES	GIRONA	972500259		2.961177600	42.259477400	1	2	6820	Renting of real estate for own account															2024	28NOV2025	01-01-1985						
A17088659	EDIFTER			20	SA	Sociedad Anónima	Public Limited Company		CTRA	NACIONAL II	S/N	KM 3 5	17600	FIGUERES	GIRONA			2.998366800	42.266612440	21		4712	Other non-specialized retail trade															2024	16JUL2025	01-01-1985						
A17090051	SANT ELM PARK			20	SA	Sociedad Anónima	Public Limited Company																															1997	01SEP1998							
A17092115	RIELLS MAR			20	SA	Sociedad Anónima	Public Limited Company		AVDA	RIELLS 46	S/N		17130	TORROELLA DE MONTGRI	GIRONA	972505100		3.130491265	42.126040879	22		6832	Other real estate activities on behalf of third parties						02	We have confirmed that this firm is active, but it has not provided us with information.	23MAY2011							2024	25MAR2026	01-01-1985						
A17092602	GERMANS LLORENS			20	SA	Sociedad Anónima	Public Limited Company		CTRA	LES PLANES	S/N	KM 22	17154	SANT ANIOL DE FINESTRES	GIRONA	972443032	http://www.germansllorens.com/	2.596436477	42.071452832	21	5	4941	Transport of goods by road						01	We have confirmed that this firm is active.	04JUL2017							2024	03NOV2025	13-11-1985						
A17093717	ORGANIZACION DE SERVICIOS CONTABLES DE INFORMATICA			20	SA	Sociedad Anónima	Public Limited Company	OSCISA	CALLE	VALENCIA	292	PRAL 1º	08009	BARCELONA	BARCELONA	934872531		2.165322100	41.393830200	1	3	6920	Accounting, bookkeeping, auditing and tax consultancy activities	7330	Public relations and communication	7020	Other business management consulting activities		02	We have confirmed that this firm is active, but it has not provided us with information.	27JAN2012							2024	01SEP2025	29-11-1985						
A17098518	INICIATIVES I PROJECTES MUNICIPALS			20	SA	Sociedad Anónima	Public Limited Company		PLAZA	DEL VI	1		17004	GIRONA	GIRONA	972419008		2.825219200	41.982897100	1		8299	Other business support activities n.e.c.						02	We have confirmed that this firm is active, but it has not provided us with information.	12NOV2006							2023	08NOV2024	01-01-1987						
A17101262	VIATGES FENALS			20	SA	Sociedad Anónima	Public Limited Company		AVDA	AMERICA	36	BAJO	17310	LLORET DE MAR	GIRONA	972364640		2.832664500	41.697521000	1	2	7911	Travel agency activities	7912	Tour operator activities				01	We have confirmed that this firm is active.	06MAR2019							2024	29AUG2025	13-01-1986						
A17101411	INMOBA			20	SA	Sociedad Anónima	Public Limited Company		CALLE	CEMENTERIO	S/N		17600	FIGUERES	GIRONA	957486630		2.973088600	42.264458000	7		8299	Other business support activities n.e.c.						02	We have confirmed that this firm is active, but it has not provided us with information.	12NOV2006							2024	16JUL2025	05-02-1986						
A17102278	GERMANS VILANOVA			20	SA	Sociedad Anónima	Public Limited Company		CTRA	FUNOSA	S/N	BJS	17857	SANT JOAN LES FONTS	GIRONA	972290336		2.541704304	42.203029368	22		4299	Construction of other civil engineering projects n.e.c.	4324	Other construction site installations	4101	Construction of residential buildings		01	We have confirmed that this firm is active.	31JAN2017							2025	08MAY2026	19-06-1986						
A17102906	PRINZ YACHTS			20	SA	Sociedad Anónima	Public Limited Company															9621	Hairdressers and barbers					Exportacion, Importacion Y Comercio Al Mayor Y Detalle De Productos De Perfumeria, Cosmetica, Belleza E Higiene Y Articulos De Bisuteria Importacion, Exportacion, Compraventa, Pilotaje, Reparacion, Mantenimiento Y Limpieza De Todo Tipo De Embarcaciones. Realizacion De Estudios Tecnicosrelacionados Con La Construccion De Embarcaciones, Realizacion De Reformas Y Modificaciones En Su Estructura. Servicio De Desguace De Embarcaciones.										2004	01SEP2005	01-10-1990						
A17107574	ESTUDIOS Y PROYECTOS RIBOT			20	SA	Sociedad Anónima	Public Limited Company		CALLE	JUAN RAMON JIMENEZ	2	1º C	28036	MADRID	MADRID	937357070		-3.686728200	40.457056000	1	1	7112	Technical engineering services and other activities related to technical advice	7111	Architectural technical services				02	We have confirmed that this firm is active, but it has not provided us with information.	12NOV2006							2024	22JUL2025	01-01-1986						
A17115031	PROMOCIONES TURISTICAS LA CASANOVA			20	SA	Sociedad Anónima	Public Limited Company		CALLE	SANT PAU	1		17600	FIGUERES	GIRONA			2.961335100	42.266054400	1		6812	Real estate development															2024	13AUG2025	04-07-1986						
A17121252	ELS ESTANYS			20	SA	Sociedad Anónima	Public Limited Company		CTRA	SANTA COLOMA	S/N		17410	SILS	GIRONA	972207977		2.742008200	41.810267600	7		6820	Renting of real estate for own account															2024	23JUL2025	01-01-1987						
A17123696	PLAYA INMOBILIARIA			20	SA	Sociedad Anónima	Public Limited Company		CALLE	MALLORCA	235	, PRINCIPAL 2	08008	BARCELONA	BARCELONA	972817107					1	6812	Real estate development	6811	Sale and purchase of real estate for own account			Construccion De Edificios Y Su Explotacion En Arrendamiento O Su Enajenacion, En Bloque O Separadamente Por Departamentos, En Regimen De Propiedad Horizontal, Asi Como Tambien La Adquisicion Y Enajenacion De Fincas En General, Para El Fin Indicado, Pudiendo Realizar Tambien Aquellos Actos Accesorio De La Actividad Referida, En Cuanto Se Hallen Directamente Relacionados Con Estos										2024	24SEP2025	01-01-1987						
A17124140	PROMOCIONES PINEDA PARK			20	SA	Sociedad Anónima	Public Limited Company		CALLE	CARDINA	9	ESCLANYA 17213	17255	BEGUR	GIRONA	972300477		3.170770700	41.930490700	1		6812	Real estate development	4101	Construction of residential buildings				04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	06MAY2014							2022	02OCT2023	01-01-1987						
A17136250	ESTACION SERVICIO BANYOLES NORTE			20	SA	Sociedad Anónima	Public Limited Company		CTRA	RIPOLL GIRONA	S/N		17820	BANYOLES	GIRONA			2.770909432	42.122337665	22		4730	Retail trade of automotive fuels															2024	25NOV2025	01-01-1987						
A17142100	CAMATE			20	SA	Sociedad Anónima	Public Limited Company		CALLE	PARE CLARET	17		17310	LLORET DE MAR	GIRONA	972371204						6820	Renting of real estate for own account															2024	01SEP2025	05-11-1987						
A17144585	INDUSTRIAL BLANES			20	SA	Sociedad Anónima	Public Limited Company		TRVA	JAUME I	69		17300	BLANES	GIRONA			2.790474150	41.678573600	4		6820	Renting of real estate for own account															2024	11NOV2025	01-12-1987						
A17145251	PROGESA 87			20	SA	Sociedad Anónima	Public Limited Company		CALLE	PONT DE LA BARCA	9		17006	GIRONA	GIRONA			2.818287100	41.991485800	1		6820	Renting of real estate for own account															2024	07AUG2025	01-12-1987						
A17145780	PRETUR			20	SA	Sociedad Anónima	Public Limited Company		CALLE	MENENDEZ PELAYO	7		26002	LOGROÑO	LA RIOJA	972554020		-2.447874500	42.460302400	1	5	8210	Administrative and auxiliary office activities	8210	Administrative and auxiliary office activities	1812	Other printing and graphic arts activities	Promocion De Empresas De Actividades Turisticas, Su Constitucion, Explotacion, Equipamiento Y Gestion, Asi Como La Prestacion De Servicios, De Asesoramiento, Gestion Administrativa, Informatica, A Las Actividades Reseñadas Anteriormente Y La Adquisicion Y Enajenacion De Establecimientos, Bien En Su Totalidad O En Participacion Fisica O Juridica, Mediante La Adquisicion De Partcipaciones Mobiliarias En Sociedades Con Objeto Identico O Analogo	02	We have confirmed that this firm is active, but it has not provided us with information.	23SEP2010							2024	23JUL2025	20-11-1987						
A17146606	SAMAR'T INVERSIONES			20	SA	Sociedad Anónima	Public Limited Company		CTRA	NACIONAL II ANTIGUA	S/N	KM 2.600	17740	VILAFANT	GIRONA	972513400		2.944228300	42.253027500	22		6812	Real estate development	6811	Sale and purchase of real estate for own account			La Adquisicion Y Venta De Terrenos, La Parcelacion Y Urbanizacion De Los Mismos, La Compra Y Venta, Administracion, Arrendamiento Y Subarrendamiento, Explotacion O Cualquier Otra Clase De Operaciones Analogas, De Toda Clase De Bienes Y Derechos, Mubels , Inmuebles, Salas De Espectaculos, Garaje, Talleres De Reparacion De Automoviles, Titulos Y Valores, Pertenencias De Propiedad Industrial Y Otras Parecidas.	02	We have confirmed that this firm is active, but it has not provided us with information.	20JUN2012							2024	02JAN2026	31-12-1987						
A17148040	ENRIC CODONY			20	SA	Sociedad Anónima	Public Limited Company	CODONY SPORT	CALLE	DE LA CANYA	99	EDIFICIO	17800	OLOT	GIRONA	972276401		2.499822000	42.194278000	12		4781	Retail trade of motor vehicles	4781	Retail trade of motor vehicles	4672	Wholesale trade of motor vehicle parts and accessories	La  Compraventa De Vehiculos Automoviles Nuevos Y Usados, Y De Sus Recambios, Accesorios, Lubrificantes Y Neumaticos , Asi Como El Alquiler, Reparacion, Conservacion, Mantenimiento Y Puesta En Funcionamiento De Los Mismos	01	We have confirmed that this firm is active.	27APR2017							2024	05AUG2025	25-01-1988						
A17148776	SIETE MIL SEISCIENTAS			20	SA	Sociedad Anónima	Public Limited Company		CALLE	SANT LLATZER	29	3 B	17600	FIGUERES	GIRONA			2.964033700	42.264674600	1		0150	Agricultural production combined with livestock production	6820	Renting of real estate for own account	6812	Real estate development	Explotacion Directa O Indirecta De Fincas Agricolas O Ganaderas, La Comercializacion Al Mayor O Detalle, De Productos Agricolas, Ganaderos O Alimentarios.										2024	24APR2026	28-01-1988						
A17151671	AGENCIA IBERICA AMPURDAN DE TRANSPORTES Y ADUANAS			20	SA	Sociedad Anónima	Public Limited Company																															1990	01OCT1991	01-01-1987						
A17160177	GOLF GIRONA			20	SA	Sociedad Anónima	Public Limited Company		LUGAR	GOLF GIRONA	S/N		17481	SANT JULIA DE RAMIS	GIRONA	972171809	http://www.golfgirona.com	2.810569400	42.036045100	7	3	9311	Management of sports facilities	9329	Recreational and amusement activities n.e.c.				01	We have confirmed that this firm is active.	23DEC2014							2024	24SEP2025	01-01-1993						
A17163148	COMPAÑIA RESTAURADORA ITALIANA			20	SA	Sociedad Anónima	Public Limited Company		AVDA	POMPEU FABRA	S/N	URB EMPURIA BRAVA	17486	CASTELLO D EMPURIES	GIRONA	972210673		3.101090336	42.241410107	22		4711	Non-specialized retail trade with predominance of food, beverages and tobacco products	7711	Rental of automobiles and light motor vehicles	4712	Other non-specialized retail trade		01	We have confirmed that this firm is active.	25MAY2015							2023	01AUG2024	10-08-1988						
A17217902	OBJECTIU IMMOGESTIO			20	SA	Sociedad Anónima	Public Limited Company		AVDA	RHODE	201	BAJO	17480	ROSES	GIRONA	972210673	http://www.immogestio.com	3.179135800	42.260153500	1	3	6812	Real estate development	6812	Real estate development	6831	Brokerage services for real estate activities	Asesoramiento Y Gestion Contable, Administrativa, Fiscal E Inmobiliaria, Y Representacion, Intermediacion Y Promocion De Negocios O Bienes Ajenos Y La Ejecucion De Mandatos De Terceros.- Actividades Cnae: 6820. Alquiler De Bienes Inmobiliarios Por Cuenta Propia.	01	We have confirmed that this firm is active.	22FEB2013							2024	17JUN2025	01-01-1989						
A17219494	EUROMICRON			20	SA	Sociedad Anónima	Public Limited Company		POLIG	POLIGER SUD	1	SECTOR	17854	SANT JAUME DE LLIERCA	GIRONA	972276401		2.593326000	42.214071000	15	1	6820	Renting of real estate for own account					Inversiones Inmobiliarios Para La Obtencion De Alquileres No Financieros	04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	14NOV2024							2024	21AUG2025	01-01-1988						
A17226523	PROMOCIONS TAMARIU			20	SA	Sociedad Anónima	Public Limited Company		RONDA	SANT ANTONI MARIA CLARET	2		17002	GIRONA	GIRONA			2.819149200	41.980224500	4		6812	Real estate development															2024	07NOV2025	01-01-1989						
A17256330	ADOCSE			20	SA	Sociedad Anónima	Public Limited Company		CTRA	SARRIA DE DALT	7	17840	17840	SARRIA DE TER	GIRONA	972190020		2.818158700	42.011936800	1		6820	Renting of real estate for own account					Trafico Mercantil Sobre Bienes Inmuebles.	02	We have confirmed that this firm is active, but it has not provided us with information.	03SEP2013							2024	25NOV2025	03-06-1990						
A17305301	CAMPVISA			20	SA	Sociedad Anónima	Public Limited Company		CALLE	SANT VALENTI	30		17474	VILAMACOLUM	GIRONA			3.056008400	42.192548000	3		6831	Brokerage services for real estate activities					Actividad Inmobilialia.										2024	23JUL2025	17-05-1991						
A17326992	SHEPHERT			20	SA	Sociedad Anónima	Public Limited Company		CALLE	VIA AUGUSTA	94	P. 5 PTA. 3	08006	BARCELONA	BARCELONA			2.150099600	41.401166500	5																		2024	27OCT2025	21-01-1992						
A17336215	E T F EUROPEAN TRAILER FACTORY			20	SA	Sociedad Anónima	Public Limited Company		POLIG	21 B	6	PARC	17700	JONQUERA (LA)	GIRONA			2.860019400	42.433653800	22		2920	Manufacture of bodies for motor vehicles; manufacture of trailers and semitrailers					Fabricacion, Venta Y Distribucion De Toda Clase De Vehiculos, Remolques Y Accesorios De Automocion.										1997	01AUG1998	02-05-1992						
A17346826	CUAI			20	SA	Sociedad Anónima	Public Limited Company		CALLE	PRINCESA	61	P. 1 PTA. 2	08003	BARCELONA	BARCELONA	934150571		2.182817400	41.387470500	1		6820	Renting of real estate for own account	4101	Construction of residential buildings			Constructora E Inmobiliaria, Explotacion De Salas De Espectaculos, Parkings, Muebles E Inmuebles, Titulos Y Valores, Pertenencias De Propiedad Industrial Y Otros Semejantes.										2024	17NOV2025	02-09-1992						
A17351396	AUTO PALAFRUGELL			23	SAL	Sociedad Anónima Laboral	Labour Public Limited Company		AVDA	CORTS CATALANES	20		17200	PALAFRUGELL	GIRONA			3.165988000	41.911626600	3		4781	Retail trade of motor vehicles					Comercio Menor De Vehiculos Terrestres Asi Como Su Reparacion.										1999	01SEP2000	16-11-1992						
A17351883	PERALADA GOLF			20	SA	Sociedad Anónima	Public Limited Company		CALLE	CNO GARRIGA	S/N		17491	PERALADA	GIRONA	935038600		3.002567278	42.318397773	22		6812	Real estate development					Fomento Y Desarrollo De Deportes Y Del Golf En Particular; Actividades Sociales, Hoteleras, De Entretenimiento Y Diversion, Inmobiliaria.										2024	15JAN2026	16-10-1992	B08061590	INVERAMA	Limited Company			
A17352501	YMBERT DUNJO			20	SA	Sociedad Anónima	Public Limited Company		CALLE	BALMES	4	1	17600	FIGUERES	GIRONA	630089682		2.957527300	42.263468900	1		6820	Renting of real estate for own account	4752	Retail trade of hardware, construction materials, paints and glass			Comercio De Materiales Y Objetos De Ferreteria, Electrodomesticos Y Menaje. El Alquiler De Locales Industriales Y Bienes Inmobiliarios Por Cuenta Propia, A Excepcion Del Arrendamiento Financiero.	01	We have confirmed that this firm is active.	11OCT2013							2024	25MAR2026	19-11-1992						
A17354507	ESTABLIMENTS CULTURALS DEL GIRONES			20	SA	Sociedad Anónima	Public Limited Company		PLAZA	INDEPENDENCIA	10	BJ ANTIGUO PASAJE CINE	17001	GIRONA	GIRONA			2.823261700	41.986384200	1		6820	Renting of real estate for own account					Constructora E Inmobiliaria.										2024	14NOV2025	16-12-1992						
A17379173	PETROL AND DERIVATED SERVICES			20	SA	Sociedad Anónima	Public Limited Company		CALLE	SEQUIA	7	3º 'EDIFICIO CONSTITUCIO	17001	GIRONA	GIRONA			2.821108600	41.983440400	1		4730	Retail trade of automotive fuels					Distribucion De Carburantes, Lubricantes Y Derivados Del Petroleo.										2024	07AUG2025	11-09-1993						
A17416934	FORDAHL CAPITAL			20	SA	Sociedad Anónima	Public Limited Company		PASEO	GAUDI	7	4 1	17820	BANYOLES	GIRONA	972580025		2.759009600	42.123564800	1		6614	Other brokerage activities in securities and other assets transactions	7020	Other business management consulting activities	6920	Accounting, bookkeeping, auditing and tax consultancy activities	Compraventa De Bienes Y Comercio En General, Almacenamiento. Deposito Y Arrendamientos No Financieros De Bienes Muebles E Inmuebles.	02	We have confirmed that this firm is active, but it has not provided us with information.	12NOV2006							2024	04DEC2025	06-10-1994						
A17525171	FRIGORIFICS SANT JULIA			20	SA	Sociedad Anónima	Public Limited Company		CALLE	MONTNEGRE	18	6º 1ª	17006	GIRONA	GIRONA	972493505		2.805659100	41.975598700	1		5210	Warehousing and storage					Plataforma Frigorifica De Distribacion, Alquiler De Camaras Frigorificas, Compraventa De Productos Alimenticios, Promoc.Publicitarias Y Transp. Nacional E Internacional Sala Despiece, Envasado Y Manipul. Alimentos Frescos Y Congel.	02	We have confirmed that this firm is active, but it has not provided us with information.	11FEB2011							2002	01JAN2004	19-09-1997						
A17577602	PROMOPROGRES			20	SA	Sociedad Anónima	Public Limited Company		CALLE	LLUIS BARCELO I BOU	7		17230	PALAMOS	GIRONA			3.133435000	41.850849800	1		6820	Renting of real estate for own account					Compraventa, Alquiler Y Explotacion De Fincas Rusticas Y Urbanas De Toda Clase. Construccion Y Promocion De Toda Clase De Inmuebles.										2007	01MAY2009	03-02-1999						
A18006551	LOSADA SAN ROMAN			20	SA	Sociedad Anónima	Public Limited Company		PSAJE	HIPICA	1	6º A 18006	18006	GRANADA	GRANADA	958205411		-3.596369700	37.162158100	4	1	6812	Real estate development	4621	Wholesale trade of cereals, raw tobacco, seeds and animal feedstuffs	5520	Tourist and other short-stay accommodations	Constituye El Objeto Social: La Promocion Y Construccion De Toda Clase De Terrenos, Urbanizaciones Y Edificaciones. El Arrendamiento De Bienes Inmuebles. La Constitucion Y Participacion En Toda Clase De Sociedades. La Prestacion De Servicios A Comision, Dentro Del Objeto Social....										2024	01JUL2025	01-01-1966						
A18008946	EDIFICIOS CYNSA			20	SA	Sociedad Anónima	Public Limited Company		CALLE	ANGEL GANIVET	3	40 C	18009	GRANADA	GRANADA	958220027		-3.598830900	37.173467500	1		6820	Renting of real estate for own account					Compraventa Y Arrendamiento De Viviendas De Toda Clase Y De Edificios De Cualquier Especie										2023	04SEP2024	27-03-1969						
A18009027	SUMINISTROS ELECTRICOS MORENO			20	SA	Sociedad Anónima	Public Limited Company		CMNO	DE RONDA	151		18003	GRANADA	GRANADA			-3.612650100	37.180997300	1		4641	Wholesale trade of textiles						02	We have confirmed that this firm is active, but it has not provided us with information.	16FEB2008							1996	01FEB1998	01-12-1969						
A18009563	INMOBILIARIA EMILIO CASTRO E HIJOS			20	SA	Sociedad Anónima	Public Limited Company	GRUPO CASTRO	CALLE	RECOGIDAS	24		18002	GRANADA	GRANADA	958267312		-3.602033400	37.172334800	1	32	6831	Brokerage services for real estate activities	6820	Renting of real estate for own account	6812	Real estate development	No Hay	01	We have confirmed that this firm is active.	13NOV2018							2024	20NOV2025	24-02-1977						
